area,areaid,dailydose1,dailydose2,dailydose3,daydiff,daytotal,referencedate,totaldistinctpersons,totaldose1,totaldose2,totaldose3,totalvaccinations
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,208,500,0,-36,708,2021-05-10 00:00:00,20512,20513,10373,0,30886
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,5092,2487,0,-77,7483,2021-05-10 00:00:00,121422,121423,55783,0,176722
ΕΒΡΟΥ,102,680,843,0,20,1422,2021-05-10 00:00:00,31216,31216,17426,0,48142
ΕΥΒΟΙΑΣ,802,866,1168,0,121,1904,2021-05-10 00:00:00,42041,42042,22470,0,63921
ΕΥΡΥΤΑΝΙΑΣ,803,76,152,0,24,178,2021-05-10 00:00:00,3697,3697,2360,0,5832
ΖΑΚΥΝΘΟΥ,601,296,219,0,-16,465,2021-05-10 00:00:00,8682,8682,4273,0,12715
ΗΛΕΙΑΣ,703,1006,730,0,-14,1644,2021-05-10 00:00:00,30010,30010,13986,0,43479
ΗΜΑΘΙΑΣ,201,631,809,0,95,1348,2021-05-10 00:00:00,27615,27615,15133,0,42318
ΗΡΑΚΛΕΙΟΥ,1301,1630,1337,0,55,2864,2021-05-10 00:00:00,62229,62229,29537,0,91274
ΘΑΣΟΥ,103,86,165,0,11,251,2021-05-10 00:00:00,3903,3903,2558,0,6461
ΘΕΣΠΡΩΤΙΑΣ,402,157,466,0,5,573,2021-05-10 00:00:00,14368,14368,8756,0,22874
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,5249,7289,0,-310,12193,2021-05-10 00:00:00,289992,289995,147357,0,435628
ΘΗΡΑΣ,1202,158,298,0,-188,406,2021-05-10 00:00:00,4972,4972,3362,0,8089
ΙΘΑΚΗΣ,602,7,83,0,-1,90,2021-05-10 00:00:00,1669,1669,1301,0,2970
ΙΚΑΡΙΑΣ,1101,147,84,0,3,231,2021-05-10 00:00:00,3726,3726,1973,0,5699
ΙΩΑΝΝΙΝΩΝ,403,918,848,0,-92,1666,2021-05-10 00:00:00,39626,39627,20787,0,59925
ΚΑΒΑΛΑΣ,104,685,656,0,63,1291,2021-05-10 00:00:00,26101,26101,13864,0,39715
ΚΑΛΥΜΝΟΥ,1203,337,331,0,252,593,2021-05-10 00:00:00,7101,7101,4440,0,11271
ΚΑΡΔΙΤΣΑΣ,501,656,574,0,109,1175,2021-05-10 00:00:00,26247,26247,11146,0,37148
ΚΑΡΠΑΘΟΥ,1204,54,66,0,0,120,2021-05-10 00:00:00,2818,2818,1841,0,4659
ΚΑΣΤΟΡΙΑΣ,302,223,444,0,8,617,2021-05-10 00:00:00,14458,14458,8461,0,22679
ΚΕΑΣ-ΚΥΘΝΟΥ,1205,26,187,0,87,213,2021-05-10 00:00:00,2416,2416,1510,0,3926
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,905,3635,7149,0,-330,10138,2021-05-10 00:00:00,302147,302149,172649,0,471843
ΚΕΡΚΥΡΑΣ,603,671,607,0,-15,1228,2021-05-10 00:00:00,24153,24153,12085,0,35994
ΚΕΦΑΛΛΗΝΙΑΣ,604,231,337,0,19,493,2021-05-10 00:00:00,9723,9723,5722,0,15133
ΚΙΛΚΙΣ,203,380,563,0,24,873,2021-05-10 00:00:00,17763,17763,11995,0,29388
ΚΟΖΑΝΗΣ,303,719,944,0,97,1563,2021-05-10 00:00:00,32470,32470,17323,0,49293
ΚΟΡΙΝΘΙΑΣ,1003,671,720,0,-22,1346,2021-05-10 00:00:00,28465,28465,10723,0,38948
ΚΩ,1206,84,221,0,-5,305,2021-05-10 00:00:00,7608,7608,4202,0,11810
ΛΑΚΩΝΙΑΣ,1004,487,527,0,17,914,2021-05-10 00:00:00,17981,17981,9441,0,26922
ΛΑΡΙΣΑΣ,502,1455,1494,0,25,2853,2021-05-10 00:00:00,54295,54295,23852,0,77662
ΛΑΣΙΘΙΟΥ,1302,366,801,0,-41,983,2021-05-10 00:00:00,22116,22116,14306,0,35518
ΛΕΣΒΟΥ,1102,312,466,0,8,728,2021-05-10 00:00:00,16783,16783,9009,0,25537
ΛΕΥΚΑΔΑΣ,605,182,163,0,13,295,2021-05-10 00:00:00,6881,6881,3672,0,10313
ΛΗΜΝΟΥ,1103,146,114,0,6,217,2021-05-10 00:00:00,4386,4386,2405,0,6649
ΜΑΓΝΗΣΙΑΣ,503,987,987,0,-53,1924,2021-05-10 00:00:00,37528,37528,17681,0,54964
ΜΕΣΣΗΝΙΑΣ,1005,953,867,0,-51,1725,2021-05-10 00:00:00,32674,32674,16264,0,48453
ΜΗΛΟΥ,1207,372,165,0,216,537,2021-05-10 00:00:00,5112,5112,3333,0,8445
ΜΥΚΟΝΟΥ,1208,19,65,0,-6,84,2021-05-10 00:00:00,1555,1555,1131,0,2686
